symbol,GeneID_dog,name_dog,GeneID_human,name_human
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
NCR1,611390.0,natural cytotoxicity triggering receptor 1,9437,natural cytotoxicity triggering receptor 1
PRPF31,476389.0,pre-mRNA processing factor 31,26121,pre-mRNA processing factor 31
PRPF31,476389.0,pre-mRNA processing factor 31,26121,pre-mRNA processing factor 31
PRPF31,476389.0,pre-mRNA processing factor 31,26121,pre-mRNA processing factor 31
PRPF31,476389.0,pre-mRNA processing factor 31,26121,pre-mRNA processing factor 31
PRPF31,476389.0,pre-mRNA processing factor 31,26121,pre-mRNA processing factor 31
PRPF31,476389.0,pre-mRNA processing factor 31,26121,pre-mRNA processing factor 31
PRPF31,476389.0,pre-mRNA processing factor 31,26121,pre-mRNA processing factor 31
PRPF31,476389.0,pre-mRNA processing factor 31,26121,pre-mRNA processing factor 31
PRPF31,476389.0,pre-mRNA processing factor 31,26121,pre-mRNA processing factor 31
PRPF31,476389.0,pre-mRNA processing factor 31,26121,pre-mRNA processing factor 31
ZNF331,414288.0,zinc finger protein 331,55422,zinc finger protein 331
VN1R4,484322.0,vomeronasal 1 receptor 4,317703,vomeronasal 1 receptor 4
MIR125A,100885879.0,microRNA 125a,406910,microRNA 125a
MIRLET7E,100886114.0,microRNA let-7e,406887,microRNA let-7e
MIR99B,100886182.0,microRNA 99b,407056,microRNA 99b
KLK14,484348.0,kallikrein related peptidase 14,43847,kallikrein related peptidase 14
KLK10,484351.0,kallikrein-related peptidase 10,5655,kallikrein related peptidase 10
KLK9,100329125.0,kallikrein related peptidase 9,284366,kallikrein related peptidase 9
KLK8,484352.0,kallikrein related peptidase 8,11202,kallikrein related peptidase 8
KLK7,611780.0,kallikrein related peptidase 7,5650,kallikrein related peptidase 7
KLK6,476402.0,kallikrein related peptidase 6,5653,kallikrein related peptidase 6
KLK5,484353.0,kallikrein related peptidase 5,25818,kallikrein related peptidase 5
KLK4,484354.0,kallikrein related peptidase 4,9622,kallikrein related peptidase 4
KLK2,403967.0,kallikrein-related peptidase 2,3817,kallikrein related peptidase 2
KLK1,403942.0,kallikrein 1,3816,kallikrein 1
MIR150,100886113.0,microRNA 150,406942,microRNA 150
RPS11,403684.0,ribosomal protein S11,6205,ribosomal protein S11
RPL13A,403680.0,ribosomal protein L13a,23521,ribosomal protein L13a
FLT3LG,442938.0,fms related tyrosine kinase 3 ligand,2323,fms related receptor tyrosine kinase 3 ligand
NTF4,611987.0,neurotrophin 4,4909,neurotrophin 4
LHB,403959.0,luteinizing hormone beta polypeptide,3972,luteinizing hormone subunit beta
FTL,477042.0,ferritin light chain,2512,ferritin light chain
BAX,403523.0,"BCL2 associated X, apoptosis regulator",581,"BCL2 associated X, apoptosis regulator"
DHDH,403786.0,dihydrodiol dehydrogenase,27294,dihydrodiol dehydrogenase
HSD17B14,476420.0,hydroxysteroid 17-beta dehydrogenase 14,51171,hydroxysteroid 17-beta dehydrogenase 14
RPL18,476422.0,ribosomal protein L18,6141,ribosomal protein L18
ELSPBP1,399530.0,epididymal sperm binding protein 1,64100,epididymal sperm binding protein 1
CRX,403577.0,cone-rod homeobox,1406,cone-rod homeobox
SELENOW,612109.0,selenoprotein W,6415,selenoprotein W
C5AR1,442974.0,complement C5a receptor 1,728,complement C5a receptor 1
ARHGAP35,403543.0,Rho GTPase activating protein 35,2909,Rho GTPase activating protein 35
SLC1A5,484425.0,solute carrier family 1 member 5,6510,solute carrier family 1 member 5
MIR769,104795024.0,microRNA 769,768217,microRNA 769
SNRPD2,100685983.0,small nuclear ribonucleoprotein D2 polypeptide,6633,small nuclear ribonucleoprotein D2 polypeptide
MIR330,100886160.0,microRNA 330,442902,microRNA 330
VASP,403936.0,vasodilator stimulated phosphoprotein,7408,vasodilator stimulated phosphoprotein
FOSB,484445.0,"FosB proto-oncogene, AP-1 transcription factor subunit",2354,"FosB proto-oncogene, AP-1 transcription factor subunit"
CKM,476435.0,"creatine kinase, M-type",1158,"creatine kinase, M-type"
APOC2,442969.0,apolipoprotein C2,344,apolipoprotein C2
APOC1,476437.0,apolipoprotein C1,341,apolipoprotein C1
CEACAM16,484457.0,carcinoembryonic antigen related cell adhesion molecule 16,388551,"CEA cell adhesion molecule 16, tectorial membrane component"
XRCC1,476447.0,X-ray repair cross complementing 1,7515,X-ray repair cross complementing 1
CEACAM1,612435.0,carcinoembryonic antigen-related cell adhesion molecule 1,634,CEA cell adhesion molecule 1
GRIK5,484480.0,glutamate ionotropic receptor kainate type subunit 5,2901,glutamate ionotropic receptor kainate type subunit 5
RABAC1,403535.0,Rab acceptor 1,10567,Rab acceptor 1
CD79A,484483.0,CD79a molecule,973,CD79a molecule
TGFB1,403998.0,transforming growth factor beta 1,7040,transforming growth factor beta 1
CYP2B6,474177.0,cytochrome P450 2B11,1555,cytochrome P450 family 2 subfamily B member 6
CYP2A7,484493.0,"cytochrome P450, family 2, subfamily A, polypeptide 7",1549,cytochrome P450 family 2 subfamily A member 7
CYP2A13,484494.0,cytochrome P450 family 2 subfamily A polypeptide 13,1553,cytochrome P450 family 2 subfamily A member 13
RAB4B,403956.0,"RAB4B, member RAS oncogene family",53916,"RAB4B, member RAS oncogene family"
AKT2,449021.0,AKT serine/threonine kinase 2,208,AKT serine/threonine kinase 2
LGALS4,484521.0,galectin 4,3960,galectin 4
LGALS4,484521.0,galectin 4,3960,galectin 4
SPINT2,403665.0,"serine peptidase inhibitor, Kunitz type 2",10653,"serine peptidase inhibitor, Kunitz type 2"
TYROBP,476477.0,TYRO protein tyrosine kinase binding protein,7305,transmembrane immune signaling adaptor TYROBP
PRODH2,484572.0,proline dehydrogenase 2,58510,proline dehydrogenase 2
PSENEN,476479.0,presenilin enhancer gamma-secretase subunit,55851,"presenilin enhancer, gamma-secretase subunit"
ATP4A,431686.0,ATPase H+/K+ transporting alpha subunit,495,ATPase H+/K+ transporting subunit alpha
KRTDAP,554216.0,keratinocyte differentiation associated protein,388533,keratinocyte differentiation associated protein
HAMP,492281.0,hepcidin antimicrobial peptide,57817,hepcidin antimicrobial peptide
FXYD1,476487.0,FXYD domain containing ion transport regulator 1,5348,FXYD domain containing ion transport regulator 1
SCN1B,484584.0,sodium voltage-gated channel beta subunit 1,6324,sodium voltage-gated channel beta subunit 1
RHPN2,403518.0,rhophilin Rho GTPase binding protein 2,85415,rhophilin Rho GTPase binding protein 2
SLC7A9,484601.0,solute carrier family 7 member 9,11136,solute carrier family 7 member 9
MIR578,100886164.0,microRNA 578,693163,microRNA 578
CREM,403887.0,cAMP responsive element modulator,1390,cAMP responsive element modulator
GAD2,487107.0,"glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa)",2572,glutamate decarboxylase 2
BMI1,487097.0,"BMI1 proto-oncogene, polycomb ring finger",648,"BMI1 proto-oncogene, polycomb ring finger"
COMMD3,477977.0,COMM domain containing 3,23412,COMM domain containing 3
HACD1,574011.0,"protein tyrosine phosphatase-like (proline instead of catalytic arginine), member A",9200,3-hydroxyacyl-CoA dehydratase 1
ST8SIA6,487115.0,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6",338596,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 6"
VIM,477991.0,vimentin,7431,vimentin
CUBN,403767.0,cubilin,8029,cubilin
SEPHS1,477999.0,selenophosphate synthetase 1,22929,selenophosphate synthetase 1
IL2RA,403870.0,interleukin 2 receptor subunit alpha,3559,interleukin 2 receptor subunit alpha
GDI2,403818.0,GDP dissociation inhibitor 2,2665,GDP dissociation inhibitor 2
AKR1C3,497070.0,"aldo-keto reductase family 1, member C3 (3-alpha hydroxysteroid dehydrogenase, type II)",8644,aldo-keto reductase family 1 member C3
SLC23A1,478025.0,solute carrier family 23 member 1,9963,solute carrier family 23 member 1
PFDN1,606872.0,prefoldin subunit 1,5201,prefoldin subunit 1
ANKHD1,612748.0,ankyrin repeat and KH domain containing 1,54882,ankyrin repeat and KH domain containing 1
EIF4EBP3,100529255.0,eukaryotic translation initiation factor 4E binding protein 3,8637,eukaryotic translation initiation factor 4E binding protein 3
NR3C1,478047.0,nuclear receptor subfamily 3 group C member 1,2908,nuclear receptor subfamily 3 group C member 1
SPINK5,478055.0,"serine peptidase inhibitor, Kazal type 5",11005,serine peptidase inhibitor Kazal type 5
GPX8,478059.0,glutathione peroxidase 8 (putative),493869,glutathione peroxidase 8 (putative)
MIR449A,100885868.0,microRNA 449a,554213,microRNA 449a
MIR449B,104797007.0,microRNA 449b,693123,microRNA 449b
IL6ST,403545.0,interleukin 6 signal transducer,3572,interleukin 6 cytokine family signal transducer
MIR582,100886025.0,microRNA 582,693167,microRNA 582
HTR1A,487230.0,5-hydroxytryptamine receptor 1A,3350,5-hydroxytryptamine receptor 1A
AK6,102314701.0,adenylate kinase 6,102157402,adenylate kinase 6
AK6,102314701.0,adenylate kinase 6,102157402,adenylate kinase 6
AK6,102314701.0,adenylate kinase 6,102157402,adenylate kinase 6
TAF9,480815.0,TATA-box binding protein associated factor 9,6880,TATA-box binding protein associated factor 9
TAF9,480815.0,TATA-box binding protein associated factor 9,6880,TATA-box binding protein associated factor 9
TAF9,480815.0,TATA-box binding protein associated factor 9,6880,TATA-box binding protein associated factor 9
OCLN,403844.0,occludin,100506658,occludin
OCLN,403844.0,occludin,100506658,occludin
OCLN,403844.0,occludin,100506658,occludin
BTF3,608628.0,basic transcription factor 3,689,basic transcription factor 3
GOT2,478103.0,glutamic-oxaloacetic transaminase 2,2806,glutamic-oxaloacetic transaminase 2
CNGB1,102156683.0,cyclic nucleotide gated channel beta 1,1258,cyclic nucleotide gated channel subunit beta 1
CCL17,403586.0,C-C motif chemokine ligand 17,6361,C-C motif chemokine ligand 17
CX3CL1,487265.0,C-X3-C motif chemokine ligand 1,6376,C-X3-C motif chemokine ligand 1
MT2A,403768.0,metallothionein 1H,4502,metallothionein 2A
MT4,403769.0,metallothionein 4,84560,metallothionein 4
CES5A,445456.0,carboxylesterase 5A,221223,carboxylesterase 5A
CES5A,445456.0,carboxylesterase 5A,221223,carboxylesterase 5A
CES1,403643.0,carboxylesterase 1,1066,carboxylesterase 1
CES1,403643.0,carboxylesterase 1,1066,carboxylesterase 1
SLC6A2,487272.0,solute carrier family 6 member 2,6530,solute carrier family 6 member 2
NOD2,487286.0,nucleotide binding oligomerization domain containing 2,64127,nucleotide binding oligomerization domain containing 2
AZIN2,478144.0,antizyme inhibitor 2,113451,antizyme inhibitor 2
EPB41,442955.0,erythrocyte membrane protein band 4.1,2035,erythrocyte membrane protein band 4.1
TAF12,609994.0,TATA-box binding protein associated factor 12,6883,TATA-box binding protein associated factor 12
RCC1,487332.0,regulator of chromosome condensation 1,1104,regulator of chromosome condensation 1
SNHG3,100568444.0,small nucleolar RNA host gene 3 (non-protein coding),8420,small nucleolar RNA host gene 3
PTAFR,487336.0,platelet activating factor receptor,5724,platelet activating factor receptor
SLC9A1,478171.0,solute carrier family 9 member A1,6548,solute carrier family 9 member A1
HMGN2,403686.0,high mobility group nucleosomal binding domain 2,3151,high mobility group nucleosomal binding domain 2
CD52,403918.0,CD52 molecule,1043,CD52 molecule
RHCE,612220.0,Rh blood group CcEe antigens,6006,Rh blood group CcEe antigens
CNR2,612289.0,cannabinoid receptor 2,1269,cannabinoid receptor 2
FUCA1,403929.0,alpha-L-fucosidase 1,2517,alpha-L-fucosidase 1
RPL11,100684296.0,ribosomal protein L11,6135,ribosomal protein L11
ID3,403547.0,"inhibitor of DNA binding 3, HLH protein",3399,inhibitor of DNA binding 3
ID3,403547.0,"inhibitor of DNA binding 3, HLH protein",3399,inhibitor of DNA binding 3
HTR1D,403963.0,5-hydroxytryptamine receptor 1D,3352,5-hydroxytryptamine receptor 1D
CDC42,403934.0,cell division cycle 42,998,cell division cycle 42
ALPL,403548.0,"alkaline phosphatase, liver/bone/kidney",249,"alkaline phosphatase, biomineralization associated"
DDOST,404012.0,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit,1650,dolichyl-diphosphooligosaccharide--protein glycosyltransferase non-catalytic subunit
TAS1R2,478213.0,taste 1 receptor member 2,80834,taste 1 receptor member 2
PADI6,487413.0,peptidyl arginine deiminase 6,353238,peptidyl arginine deiminase 6
PADI6,487413.0,peptidyl arginine deiminase 6,353238,peptidyl arginine deiminase 6
SDHB,478217.0,succinate dehydrogenase complex iron sulfur subunit B,6390,succinate dehydrogenase complex iron sulfur subunit B
SDHB,478217.0,succinate dehydrogenase complex iron sulfur subunit B,6390,succinate dehydrogenase complex iron sulfur subunit B
CASP9,487432.0,caspase 9,842,caspase 9
PDPN,403886.0,podoplanin,10630,podoplanin
MIIP,608204.0,migration and invasion inhibitory protein,60672,migration and invasion inhibitory protein
MFN2,487439.0,mitofusin 2,9927,mitofusin 2
PLOD1,487440.0,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1",5351,"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"
NPPA,608289.0,natriuretic peptide A,4878,natriuretic peptide A
CENPS,487450.0,"apoptosis-inducing, TAF9-like domain 1",378708,centromere protein S
SRP19,606764.0,signal recognition particle 19,6728,signal recognition particle 19
FER,403754.0,FER tyrosine kinase,2241,FER tyrosine kinase
ARSK,488903.0,arylsulfatase family member K,153642,arylsulfatase family member K
MIR9-2,100885918.0,microRNA 9-2,407047,microRNA 9-2
CKMT2,479163.0,"creatine kinase, mitochondrial 2",1160,"creatine kinase, mitochondrial 2"
ARSB,610364.0,arylsulfatase B,411,arylsulfatase B
AP3B1,403459.0,adaptor related protein complex 3 beta 1 subunit,8546,adaptor related protein complex 3 subunit beta 1
F2RL1,488940.0,F2R like trypsin receptor 1,2150,F2R like trypsin receptor 1
MIR211,100886067.0,microRNA 211,406993,microRNA 211
MIR211,100886067.0,microRNA 211,406993,microRNA 211
MIR211,100886067.0,microRNA 211,406993,microRNA 211
TJP1,403752.0,tight junction protein 1,7082,tight junction protein 1
TJP1,403752.0,tight junction protein 1,7082,tight junction protein 1
TJP1,403752.0,tight junction protein 1,7082,tight junction protein 1
SELENOS,607791.0,selenoprotein S,55829,selenoprotein S
OTUB1,611228.0,"OTU domain, ubiquitin aldehyde binding 1",55611,"OTU deubiquitinase, ubiquitin aldehyde binding 1"
ST8SIA2,488722.0,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2",8128,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2"
MIR7-2,100886084.0,microRNA 7-2,407044,microRNA 7-2
ACAN,403828.0,aggrecan,176,aggrecan
MIR9-3,100885920.0,microRNA 9-3,407051,microRNA 9-3
RHCG,479040.0,Rh family C glycoprotein,51458,Rh family C glycoprotein
ANPEP,403913.0,"alanyl aminopeptidase, membrane",290,"alanyl aminopeptidase, membrane"
AP3S2,479042.0,"adaptor-related protein complex 3, sigma 2 subunit",10239,adaptor related protein complex 3 subunit sigma 2
ARPIN,100846982.0,actin related protein 2/3 complex inhibitor,348110,actin related protein 2/3 complex inhibitor
SEC11A,404004.0,"SEC11 homolog A, signal peptidase complex subunit",23478,"SEC11 homolog A, signal peptidase complex subunit"
RPS17,403681.0,ribosomal protein S17,6218,ribosomal protein S17
RPS17,403681.0,ribosomal protein S17,6218,ribosomal protein S17
MIR184,100886094.0,microRNA 184,406960,microRNA 184
MIR95,100886157.0,microRNA 95,407052,microRNA 95
TRMT44,488791.0,tRNA methyltransferase 44 homolog,152992,tRNA methyltransferase 44 homolog
HGFAC,403432.0,HGF activator,3083,HGF activator
PROM1,488816.0,prominin 1,8842,prominin 1
CD38,403756.0,CD38 molecule,952,CD38 molecule
ZNF518B,479092.0,zinc finger protein 518B,85460,zinc finger protein 518B
WDR1,611070.0,WD repeat domain 1,9948,WD repeat domain 1
SLC2A9,479093.0,solute carrier family 2 member 9,56606,solute carrier family 2 member 9
RBM47,403423.0,RNA binding motif protein 47,54502,RNA binding motif protein 47
PDS5A,479103.0,PDS5 cohesin associated factor A,23244,PDS5 cohesin associated factor A
MIR574,100885917.0,microRNA 574,693159,microRNA 574
TLR1,488834.0,toll-like receptor 1,7096,toll like receptor 1
TLR10,100379585.0,toll like receptor 10,81793,toll like receptor 10
CCKAR,488846.0,cholecystokinin A receptor,886,cholecystokinin A receptor
SMIM20,611690.0,small integral membrane protein 20,389203,small integral membrane protein 20
MIR218-1,100886127.0,microRNA 218-1,407000,microRNA 218-1
IDUA,100505382.0,"iduronidase, alpha-L-",3425,alpha-L-iduronidase
PDE6B,399653.0,phosphodiesterase 6B,5158,phosphodiesterase 6B
LGALS8,479193.0,galectin 8,3964,galectin 8
MIR1296,104795034.0,microRNA 1296,100302150,microRNA 1296
TACR2,489020.0,tachykinin receptor 2,6865,tachykinin receptor 2
PRF1,489030.0,perforin 1,5551,perforin 1
MYOZ1,479250.0,myozenin 1,58529,myozenin 1
PLAU,403426.0,"plasminogen activator, urokinase",5328,"plasminogen activator, urokinase"
AP3M1,489052.0,adaptor related protein complex 3 mu 1 subunit,26985,adaptor related protein complex 3 subunit mu 1
KCNMA1,403984.0,potassium calcium-activated channel subfamily M alpha 1,3778,potassium calcium-activated channel subfamily M alpha 1
RPS24,485132.0,ribosomal protein S24,6229,ribosomal protein S24
MIR346,100886161.0,microRNA 346,442911,microRNA 346
BMPR1A,489077.0,bone morphogenetic protein receptor type 1A,657,bone morphogenetic protein receptor type 1A
LMAN2,403938.0,"lectin, mannose binding 2",10960,"lectin, mannose binding 2"
MIR1271,100886174.0,microRNA 1271,100302203,microRNA 1271
HRH2,403812.0,histamine receptor H2,3274,histamine receptor H2
MSX2,403663.0,msh homeobox 2,4488,msh homeobox 2
NKX2-5,489113.0,NK2 homeobox 5,1482,NK2 homeobox 5
ATP6V0E1,403729.0,ATPase H+ transporting V0 subunit e1,8992,ATPase H+ transporting V0 subunit e1
NPM1,479292.0,nucleophosmin 1,4869,nucleophosmin 1
KCNMB1,403983.0,potassium calcium-activated channel subfamily M regulatory beta subunit 1,3779,potassium calcium-activated channel subfamily M regulatory beta subunit 1
MIR218-2,100885926.0,microRNA 218-2,407001,microRNA 218-2
MIR146A,100885925.0,microRNA 146a,406938,microRNA 146a
ADRA1B,403962.0,adrenoceptor alpha 1B,147,adrenoceptor alpha 1B
IL12B,403976.0,interleukin 12B,3593,interleukin 12B
MED7,100688348.0,mediator complex subunit 7,9443,mediator complex subunit 7
HAVCR1,612069.0,hepatitis A virus cellular receptor 1,26762,hepatitis A virus cellular receptor 1
HAVCR2,479318.0,hepatitis A virus cellular receptor 2,84868,hepatitis A virus cellular receptor 2
ATOX1,403713.0,antioxidant 1 copper chaperone,475,antioxidant 1 copper chaperone
GPX3,489179.0,glutathione peroxidase 3,2878,glutathione peroxidase 3
RPS14,403690.0,ribosomal protein S14,6208,ribosomal protein S14
TCOF1,403592.0,treacle ribosome biogenesis factor 1,6949,treacle ribosome biogenesis factor 1
ARSI,489186.0,arylsulfatase family member I,340075,arylsulfatase family member I
PDGFRB,442985.0,platelet derived growth factor receptor beta,5159,platelet derived growth factor receptor beta
PDE6A,403620.0,phosphodiesterase 6A,5145,phosphodiesterase 6A
MIR145,100885996.0,microRNA 145,406937,microRNA 145
MIR143,100885924.0,microRNA 143,406935,microRNA 143
ADRB2,403910.0,adrenoceptor beta 2,154,adrenoceptor beta 2
CCL28,448795.0,C-C motif chemokine ligand 28,56477,C-C motif chemokine ligand 28
SELENOP,479346.0,selenoprotein P,6414,selenoprotein P
GHR,403721.0,growth hormone receptor,2690,growth hormone receptor
PTGER4,403589.0,prostaglandin E receptor 4,5734,prostaglandin E receptor 4
LIFR,449478.0,LIF receptor alpha,3977,LIF receptor subunit alpha
SLC1A3,403748.0,solute carrier family 1 member 3,6507,solute carrier family 1 member 3
SLC45A2,489236.0,solute carrier family 45 member 2,51151,solute carrier family 45 member 2
SLC45A2,489236.0,solute carrier family 45 member 2,51151,solute carrier family 45 member 2
RETREG1,479382.0,reticulophagy regulator 1,54463,reticulophagy regulator 1
ZNF622,479383.0,zinc finger protein 622,90441,zinc finger protein 622
B3GAT1,489265.0,"beta-1,3-glucuronyltransferase 1",27087,"beta-1,3-glucuronyltransferase 1"
NECTIN1,489363.0,nectin cell adhesion molecule 1,5818,nectin cell adhesion molecule 1
THY1,489365.0,Thy-1 cell surface antigen,7070,Thy-1 cell surface antigen
SLC37A4,489375.0,solute carrier family 37 member 4,2542,solute carrier family 37 member 4
SLC37A4,489375.0,solute carrier family 37 member 4,2542,solute carrier family 37 member 4
CD3E,442981.0,CD3e molecule,916,CD3 epsilon subunit of T-cell receptor complex
SCN2B,403485.0,sodium voltage-gated channel beta subunit 2,6327,sodium voltage-gated channel beta subunit 2
FXYD6,610831.0,FXYD domain containing ion transport regulator 6,53826,FXYD domain containing ion transport regulator 6
FXYD2,608594.0,FXYD domain containing ion transport regulator 2,486,FXYD domain containing ion transport regulator 2
BACE1,489390.0,beta-secretase 1,23621,beta-secretase 1
APOC3,442970.0,apolipoprotein C3,345,apolipoprotein C3
HTR3A,489399.0,5-hydroxytryptamine receptor 3A,3359,5-hydroxytryptamine receptor 3A
DRD2,403701.0,dopamine receptor D2,1813,dopamine receptor D2
NCAM1,479435.0,neural cell adhesion molecule 1,4684,neural cell adhesion molecule 1
IL18,403796.0,interleukin 18,3606,interleukin 18
MIR34C,100885931.0,microRNA 34c,407042,microRNA 34c
MIR34B,100885981.0,microRNA 34b,407041,microRNA 34b
ATM,479450.0,ATM serine/threonine kinase,472,ATM serine/threonine kinase
CASP4,403724.0,"caspase 4, apoptosis-related cysteine peptidase",837,caspase 4
CASP4,403724.0,"caspase 4, apoptosis-related cysteine peptidase",837,caspase 4
CASP12,479458.0,caspase 12,100506742,caspase 12 (gene/pseudogene)
CASP12,479458.0,caspase 12,100506742,caspase 12 (gene/pseudogene)
MMP12,611789.0,matrix metallopeptidase 12,4321,matrix metallopeptidase 12
MMP3,403445.0,"matrix metallopeptidase 3 (stromelysin 1, progelatinase)",4314,matrix metallopeptidase 3
MMP7,489432.0,matrix metallopeptidase 7,4316,matrix metallopeptidase 7
BIRC2,479464.0,baculoviral IAP repeat containing 2,329,baculoviral IAP repeat containing 2
BIRC3,489433.0,baculoviral IAP repeat containing 3,330,baculoviral IAP repeat containing 3
TEKT1,403661.0,tektin 1,83659,tektin 1
